-0.014499,0.957338,-1.79116,0.004391,0.899729,-1.800467,-0.002261,0.897279,-1.800652,0.001886,0.942465,-1.802823
-0.035622,1.065622,-1.798259,0.098896,0.943766,-1.886385,-0.065389,0.912165,-1.802203,-0.019323,1.01324,-1.827342
-0.087987,1.145014,-1.788383,0.279333,1.006885,-1.924901,-0.158604,0.997894,-1.871939,-0.109182,1.134245,-1.885723
-0.082992,1.296417,-1.88615,0.402005,0.950233,-1.958279,-0.124329,1.091592,-1.905892,0.050565,1.222946,-1.968249
-0.234488,1.369912,-2.071185,0.366063,0.844662,-1.915865,-0.039746,1.093674,-1.865258,0.24854,1.320648,-2.031898
-0.149804,1.341649,-2.283983,0.178197,0.805379,-1.801882,0.029496,1.098846,-1.817538,0.245213,1.39526,-2.171877
-0.228598,1.285148,-2.447082,0.014509,0.830729,-1.822682,-0.120769,1.12696,-1.817016,0.005663,1.284171,-2.229504
-0.322816,1.121047,-2.382609,-0.062336,0.839828,-1.860274,-0.160194,1.116811,-1.779474,-0.004879,1.070995,-2.216524
-0.334855,0.976763,-2.23947,-0.063547,0.909863,-1.908105,-0.099527,1.147282,-1.763653,0.157567,0.876633,-2.253431
-0.357373,0.920407,-2.193619,-0.095614,0.980796,-1.924194,-0.090037,1.224655,-1.770711,0.204271,0.842801,-2.261722
-0.333382,0.884168,-2.152392,-0.115296,1.074221,-1.928575,-0.093497,1.284818,-1.748212,0.150107,0.882598,-2.19596
-0.313068,0.897322,-2.092534,-0.154084,1.170041,-1.931481,-0.157994,1.347907,-1.730918,0.158965,0.930947,-2.113976
-0.156056,0.97486,-2.056096,-0.175541,1.286207,-1.916204,-0.231941,1.435098,-1.781277,0.198337,1.002772,-2.063343
0.054911,1.062316,-2.039752,-0.199666,1.413182,-1.962936,-0.245954,1.485611,-1.882497,0.172455,1.135037,-2.132833
0.140879,1.132212,-2.015877,-0.130647,1.522538,-2.010392,-0.221366,1.501978,-1.925023,0.159058,1.16004,-2.152314
0.161714,1.197442,-2.090986,0.025297,1.554528,-2.039565,-0.135053,1.398934,-2.029227,0.217539,1.136384,-2.128992
0.106524,1.26092,-2.119714,0.196923,1.434789,-2.116179,-0.185424,1.297093,-2.19661,0.183101,1.135922,-2.090892
0.027156,1.294783,-2.127162,0.308811,1.231562,-2.269784,-0.248706,1.153652,-2.29483,0.077232,1.134864,-2.022985
0.071837,1.286336,-2.083255,0.336902,1.011444,-2.322563,-0.164101,0.95392,-2.317548,0.060156,1.150718,-1.987557
